index,seed,fault_class,onset_step,magnitude,channel,n_steps
49,1049,sensor_bias,780,-1.685691936000e-03,1,2000
50,1050,sensor_drift,950,-1.284967533645e-03,0,2000
51,1051,sensor_stuck,1140,0.000000000000e+00,0,2000
52,1052,sensor_dropout,797,0.000000000000e+00,1,2000
53,1053,actuator_loss_of_effectiveness,1192,4.449421820334e-01,0,2000
54,1054,actuator_stuck,618,0.000000000000e+00,0,2000
55,1055,actuator_runaway,1159,2.712503448537e-05,0,2000
56,1056,none,1246,0.000000000000e+00,1,2000
57,1057,sensor_bias,879,-1.545162363355e-03,1,2000
58,1058,sensor_drift,630,-2.244458730156e-05,1,2000
59,1059,sensor_stuck,915,0.000000000000e+00,1,2000
60,1060,sensor_dropout,1290,0.000000000000e+00,0,2000
61,1061,actuator_loss_of_effectiveness,1031,6.396973995719e-01,1,2000
62,1062,actuator_stuck,1057,0.000000000000e+00,1,2000
63,1063,actuator_runaway,1274,1.626370993829e-04,0,2000
64,1064,none,780,0.000000000000e+00,1,2000
65,1065,sensor_bias,1299,8.460701909353e-04,1,2000
66,1066,sensor_drift,891,-7.177082007560e-05,1,2000
67,1067,sensor_stuck,1246,0.000000000000e+00,0,2000
68,1068,sensor_dropout,1170,0.000000000000e+00,0,2000
69,1069,actuator_loss_of_effectiveness,1297,9.378431546374e-01,1,2000
70,1070,actuator_stuck,756,0.000000000000e+00,0,2000
71,1071,actuator_runaway,769,-1.759558945779e-04,1,2000
72,1072,none,963,0.000000000000e+00,1,2000
73,1073,sensor_bias,827,-6.527046806421e-03,0,2000
74,1074,sensor_drift,1300,4.175691122540e-05,1,2000
75,1075,sensor_stuck,1151,0.000000000000e+00,1,2000
76,1076,sensor_dropout,859,0.000000000000e+00,0,2000
77,1077,actuator_loss_of_effectiveness,1247,2.442586481238e-01,1,2000
78,1078,actuator_stuck,1227,0.000000000000e+00,1,2000
79,1079,actuator_runaway,1260,1.871901362319e-04,0,2000
80,1080,none,1235,0.000000000000e+00,1,2000
81,1081,sensor_bias,912,-2.621760691707e-03,1,2000
82,1082,sensor_drift,1086,-4.086101412510e-05,1,2000
83,1083,sensor_stuck,883,0.000000000000e+00,1,2000
84,1084,sensor_dropout,1190,0.000000000000e+00,0,2000
85,1085,actuator_loss_of_effectiveness,1197,5.658821818402e-01,1,2000
86,1086,actuator_stuck,1184,0.000000000000e+00,1,2000
87,1087,actuator_runaway,940,2.314792918941e-05,0,2000
88,1088,none,998,0.000000000000e+00,0,2000
89,1089,sensor_bias,668,-5.726062640252e-03,0,2000
90,1090,sensor_drift,1074,-8.872928082544e-04,0,2000
91,1091,sensor_stuck,653,0.000000000000e+00,1,2000
92,1092,sensor_dropout,614,0.000000000000e+00,1,2000
93,1093,actuator_loss_of_effectiveness,1123,6.318722799619e-01,1,2000
94,1094,actuator_stuck,1112,0.000000000000e+00,1,2000
95,1095,actuator_runaway,922,6.681659775853e-05,0,2000
96,1096,none,1274,0.000000000000e+00,1,2000
97,1097,sensor_bias,923,-4.040093073874e-03,0,2000
98,1098,sensor_drift,963,-4.359584255524e-05,1,2000
99,1099,sensor_stuck,640,0.000000000000e+00,0,2000
100,1100,sensor_dropout,735,0.000000000000e+00,0,2000
101,1101,actuator_loss_of_effectiveness,1222,2.567718166066e-01,0,2000
102,1102,actuator_stuck,981,0.000000000000e+00,0,2000
103,1103,actuator_runaway,760,1.514181743247e-04,0,2000
104,1104,none,650,0.000000000000e+00,1,2000
105,1105,sensor_bias,1057,-1.641933940303e-03,1,2000
106,1106,sensor_drift,1149,3.188753431210e-03,0,2000
107,1107,sensor_stuck,1113,0.000000000000e+00,1,2000
108,1108,sensor_dropout,902,0.000000000000e+00,1,2000
109,1109,actuator_loss_of_effectiveness,907,3.764161811823e-01,1,2000
110,1110,actuator_stuck,941,0.000000000000e+00,1,2000
111,1111,actuator_runaway,1202,-1.347879410463e-04,1,2000
112,1112,none,1011,0.000000000000e+00,0,2000
113,1113,sensor_bias,1282,-4.687471662025e-04,1,2000
114,1114,sensor_drift,713,2.845322073144e-03,0,2000
115,1115,sensor_stuck,762,0.000000000000e+00,0,2000
116,1116,sensor_dropout,1256,0.000000000000e+00,0,2000
117,1117,actuator_loss_of_effectiveness,1063,7.862131319725e-01,1,2000
118,1118,actuator_stuck,865,0.000000000000e+00,1,2000
119,1119,actuator_runaway,1103,1.536466141857e-04,1,2000
120,1120,none,803,0.000000000000e+00,1,2000
121,1121,sensor_bias,688,4.997929008201e-03,0,2000
122,1122,sensor_drift,1299,5.237815628564e-05,1,2000
123,1123,sensor_stuck,866,0.000000000000e+00,0,2000
124,1124,sensor_dropout,726,0.000000000000e+00,1,2000
125,1125,actuator_loss_of_effectiveness,1283,3.948545509395e-01,1,2000
126,1126,actuator_stuck,754,0.000000000000e+00,0,2000
127,1127,actuator_runaway,1179,-1.175258832088e-04,0,2000
128,1128,none,1233,0.000000000000e+00,1,2000
129,1129,sensor_bias,939,2.146369964161e-03,1,2000
130,1130,sensor_drift,758,-4.596232102049e-05,1,2000
131,1131,sensor_stuck,1052,0.000000000000e+00,0,2000
132,1132,sensor_dropout,653,0.000000000000e+00,1,2000
133,1133,actuator_loss_of_effectiveness,897,9.991311455369e-01,1,2000
134,1134,actuator_stuck,966,0.000000000000e+00,1,2000
135,1135,actuator_runaway,1103,-1.141048789407e-04,1,2000
136,1136,none,1283,0.000000000000e+00,0,2000
137,1137,sensor_bias,707,2.329043128576e-03,1,2000
138,1138,sensor_drift,987,2.171717653197e-03,0,2000
139,1139,sensor_stuck,1063,0.000000000000e+00,0,2000
140,1140,sensor_dropout,692,0.000000000000e+00,1,2000
141,1141,actuator_loss_of_effectiveness,724,5.889325504735e-01,1,2000
142,1142,actuator_stuck,633,0.000000000000e+00,0,2000
143,1143,actuator_runaway,1185,-7.221955190153e-05,0,2000
144,1144,none,1125,0.000000000000e+00,0,2000
145,1145,sensor_bias,908,1.925822686735e-03,0,2000
146,1146,sensor_drift,891,-3.337064039514e-03,0,2000
147,1147,sensor_stuck,1030,0.000000000000e+00,0,2000
148,1148,sensor_dropout,1269,0.000000000000e+00,0,2000
149,1149,actuator_loss_of_effectiveness,1014,8.527151632444e-01,1,2000
150,1150,actuator_stuck,929,0.000000000000e+00,1,2000
151,1151,actuator_runaway,1126,3.727172115114e-05,1,2000
152,1152,none,761,0.000000000000e+00,1,2000
153,1153,sensor_bias,725,5.547500409400e-03,0,2000
154,1154,sensor_drift,920,-4.344702503790e-04,0,2000
155,1155,sensor_stuck,884,0.000000000000e+00,0,2000
156,1156,sensor_dropout,1182,0.000000000000e+00,0,2000
157,1157,actuator_loss_of_effectiveness,1104,8.759936027163e-01,0,2000
158,1158,actuator_stuck,648,0.000000000000e+00,1,2000
159,1159,actuator_runaway,1208,-1.382496572706e-04,0,2000
160,1160,none,710,0.000000000000e+00,0,2000
161,1161,sensor_bias,1108,-5.062881649248e-03,0,2000
162,1162,sensor_drift,887,8.261169198754e-06,1,2000
163,1163,sensor_stuck,781,0.000000000000e+00,1,2000
164,1164,sensor_dropout,1098,0.000000000000e+00,0,2000
165,1165,actuator_loss_of_effectiveness,1093,6.022677623557e-01,1,2000
166,1166,actuator_stuck,1260,0.000000000000e+00,0,2000
167,1167,actuator_runaway,1086,-7.018827023020e-05,0,2000
168,1168,none,904,0.000000000000e+00,0,2000
169,1169,sensor_bias,722,-2.763594973262e-03,1,2000
170,1170,sensor_drift,735,-5.663567325924e-05,1,2000
171,1171,sensor_stuck,1050,0.000000000000e+00,1,2000
172,1172,sensor_dropout,1224,0.000000000000e+00,1,2000
173,1173,actuator_loss_of_effectiveness,1035,5.970160551964e-01,0,2000
174,1174,actuator_stuck,962,0.000000000000e+00,1,2000
175,1175,actuator_runaway,1101,-6.790938473294e-05,1,2000
176,1176,none,1163,0.000000000000e+00,0,2000
177,1177,sensor_bias,729,-1.719834550121e-03,1,2000
178,1178,sensor_drift,652,1.127055647912e-03,0,2000
179,1179,sensor_stuck,808,0.000000000000e+00,0,2000
180,1180,sensor_dropout,1005,0.000000000000e+00,0,2000
181,1181,actuator_loss_of_effectiveness,846,8.225579498724e-01,1,2000
182,1182,actuator_stuck,1131,0.000000000000e+00,0,2000
183,1183,actuator_runaway,721,2.521784190431e-05,0,2000
184,1184,none,1051,0.000000000000e+00,0,2000
185,1185,sensor_bias,1104,-6.229796382040e-04,1,2000
186,1186,sensor_drift,1203,-3.503436516244e-05,1,2000
187,1187,sensor_stuck,1192,0.000000000000e+00,0,2000
188,1188,sensor_dropout,708,0.000000000000e+00,0,2000
189,1189,actuator_loss_of_effectiveness,1188,3.364336056931e-01,0,2000
190,1190,actuator_stuck,937,0.000000000000e+00,1,2000
191,1191,actuator_runaway,689,-1.358419674134e-04,0,2000
192,1192,none,1197,0.000000000000e+00,0,2000
193,1193,sensor_bias,710,-1.480615995809e-03,1,2000
194,1194,sensor_drift,949,-3.980611313820e-05,1,2000
195,1195,sensor_stuck,1267,0.000000000000e+00,1,2000
196,1196,sensor_dropout,660,0.000000000000e+00,1,2000
197,1197,actuator_loss_of_effectiveness,1011,2.164112035834e-01,0,2000
198,1198,actuator_stuck,861,0.000000000000e+00,1,2000
199,1199,actuator_runaway,1283,-8.672772845247e-05,1,2000
200,1200,none,1004,0.000000000000e+00,1,2000
201,1201,sensor_bias,911,8.330776619540e-04,1,2000
202,1202,sensor_drift,632,4.063840115375e-05,1,2000
203,1203,sensor_stuck,642,0.000000000000e+00,1,2000
204,1204,sensor_dropout,1080,0.000000000000e+00,1,2000
205,1205,actuator_loss_of_effectiveness,1162,3.055842359203e-01,0,2000
206,1206,actuator_stuck,723,0.000000000000e+00,0,2000
207,1207,actuator_runaway,724,-9.497848292940e-05,1,2000
208,1208,none,936,0.000000000000e+00,1,2000
209,1209,sensor_bias,818,-2.264285489589e-03,0,2000
210,1210,sensor_drift,827,-1.386398991681e-03,0,2000
211,1211,sensor_stuck,924,0.000000000000e+00,1,2000
212,1212,sensor_dropout,800,0.000000000000e+00,0,2000
213,1213,actuator_loss_of_effectiveness,997,2.884766956248e-01,0,2000
214,1214,actuator_stuck,1274,0.000000000000e+00,0,2000
215,1215,actuator_runaway,625,8.406609638457e-05,0,2000
216,1216,none,659,0.000000000000e+00,0,2000
217,1217,sensor_bias,955,4.472858458805e-03,0,2000
218,1218,sensor_drift,960,-1.336322498613e-03,0,2000
219,1219,sensor_stuck,1041,0.000000000000e+00,1,2000
220,1220,sensor_dropout,1039,0.000000000000e+00,0,2000
221,1221,actuator_loss_of_effectiveness,1166,4.686356302607e-01,0,2000
222,1222,actuator_stuck,629,0.000000000000e+00,0,2000
223,1223,actuator_runaway,694,1.837087427061e-04,0,2000
224,1224,none,834,0.000000000000e+00,0,2000
225,1225,sensor_bias,1001,-5.428478830177e-03,0,2000
226,1226,sensor_drift,885,-2.357880041171e-03,0,2000
227,1227,sensor_stuck,914,0.000000000000e+00,1,2000
228,1228,sensor_dropout,919,0.000000000000e+00,1,2000
229,1229,actuator_loss_of_effectiveness,801,8.598726448595e-01,0,2000
230,1230,actuator_stuck,667,0.000000000000e+00,0,2000
231,1231,actuator_runaway,1299,-2.818504687940e-05,0,2000
232,1232,none,1281,0.000000000000e+00,0,2000
233,1233,sensor_bias,1006,4.488706123645e-03,0,2000
234,1234,sensor_drift,1284,-4.414160353332e-05,1,2000
235,1235,sensor_stuck,724,0.000000000000e+00,0,2000
236,1236,sensor_dropout,1036,0.000000000000e+00,1,2000
237,1237,actuator_loss_of_effectiveness,950,7.288834910712e-01,1,2000
238,1238,actuator_stuck,1254,0.000000000000e+00,1,2000
239,1239,actuator_runaway,999,1.273627909217e-04,1,2000
