mean_ch0,std_ch0,slope_ch0,autocorr1_ch0,max_abs_ch0,cusum_range_ch0,mean_ch1,std_ch1,slope_ch1,autocorr1_ch1,max_abs_ch1,cusum_range_ch1,mean_nis,max_nis,corr_01,exceed_frac,label_index,label
1.858580314e-03,1.077047626e+00,-1.028498867e-01,1.646333212e-01,3.757544691e+00,1.560990788e+00,1.524807674e-01,1.020783617e+00,-4.499689586e-01,6.757447321e-02,3.486250749e+00,1.410994538e+00,2.225284621e+00,1.661789261e+01,-7.933329149e-02,3.000000000e-02,0,none
-6.141495334e-02,9.564757184e-01,-2.630911892e-03,-6.517640651e-02,2.456795433e+00,5.375878838e-01,-3.586400567e-02,9.890007091e-01,-4.067309923e-01,1.434296348e-01,2.442085939e+00,1.023730150e+00,1.898026226e+00,7.945596787e+00,1.909247219e-01,0.000000000e+00,0,none
-7.295524356e-02,9.908956555e-01,-9.411379704e-01,-3.594434172e-02,2.721405334e+00,1.624180328e+00,5.404396406e-01,1.053993283e+00,9.848940077e-01,1.647831195e-01,3.290231815e+00,1.555194222e+00,2.390173513e+00,1.094503872e+01,-3.486705625e-02,3.000000000e-02,2,sensor_drift
-1.510780800e-01,9.867061750e-01,-1.064358592e+00,-1.216081266e-02,2.721405334e+00,1.727092311e+00,6.672995658e-01,1.047759075e+00,9.743599555e-01,1.162543799e-01,3.292280585e+00,1.794508727e+00,2.539501452e+00,1.094503872e+01,4.080857270e-02,4.000000000e-02,2,sensor_drift
-2.562719580e-01,9.813025081e-01,-8.769979745e-01,2.849316550e-04,2.721405334e+00,1.648980747e+00,7.977920595e-01,1.024313953e+00,1.107942461e+00,1.368992151e-01,3.292280585e+00,1.781381509e+00,2.714321173e+00,1.094503872e+01,-6.951432328e-03,4.000000000e-02,2,sensor_drift
-5.425360485e-01,8.987141243e-01,-9.447221321e-01,6.845619294e-02,2.479183496e+00,1.285350175e+00,9.906792528e-01,1.061558890e+00,1.027698382e+00,1.400562522e-01,3.721513829e+00,2.012386062e+00,3.210385099e+00,1.400227724e+01,8.668673749e-02,5.000000000e-02,2,sensor_drift
4.507072327e-02,8.412315247e-01,5.950685227e-02,-1.521146918e-01,2.244369972e+00,8.364054832e-01,-1.056221417e-01,9.781965429e-01,3.151111493e-01,-1.532639576e-01,2.490256073e+00,7.706268752e-01,1.677726362e+00,9.276077254e+00,1.503132157e-01,1.000000000e-02,0,none
9.640419049e-03,9.026773907e-01,2.786855960e-01,1.511368407e-01,2.533165666e+00,1.198537692e+00,7.073813727e-02,9.548330069e-01,3.348231188e-02,-2.887333964e-02,2.073229124e+00,6.556544060e-01,1.731629364e+00,7.013194222e+00,-2.425476634e-01,0.000000000e+00,0,none
1.361871088e+00,1.441492449e+00,4.669974513e+00,9.720278868e-01,4.591799122e+00,6.219080813e+00,-4.070236895e-01,9.735944223e-01,-1.012789084e+00,3.025742294e-02,3.276304619e+00,1.646643279e+00,5.046147725e+00,2.844972576e+01,-3.246671780e-01,2.100000000e-01,3,sensor_stuck
1.850683693e+00,1.766030994e+00,5.954712023e+00,9.715557404e-01,5.570561006e+00,7.660999335e+00,-5.286073828e-01,9.812292749e-01,-1.347284256e+00,1.434837266e-01,3.276304619e+00,1.954874047e+00,7.786132261e+00,3.575159299e+01,-4.146137803e-01,3.100000000e-01,3,sensor_stuck
2.828061619e+00,2.182637235e+00,7.476629604e+00,9.707193732e-01,7.184692800e+00,9.467806975e+00,-7.791572476e-01,1.087162749e+00,-2.098738087e+00,2.534300786e-01,3.411066482e+00,2.780724894e+00,1.455084668e+01,5.507196490e+01,-5.656653591e-01,4.600000000e-01,3,sensor_stuck
4.928825949e+00,2.743176000e+00,9.455381972e+00,9.701021069e-01,1.018963319e+01,1.188507213e+01,-1.521488018e+00,1.432032276e+00,-3.726786744e+00,5.289952430e-01,5.392823003e+00,4.819587203e+00,3.618398203e+01,1.202015556e+02,-7.655209397e-01,7.100000000e-01,3,sensor_stuck
-2.612216439e-02,9.843863806e-01,6.073441290e-01,7.108996754e-02,2.756465011e+00,1.389272891e+00,-2.971159585e-02,9.411535176e-01,-2.562858579e-01,-1.070912583e-01,3.139317260e+00,1.275301716e+00,1.856351637e+00,9.862168834e+00,-3.549821540e-02,1.000000000e-02,0,none
-8.212846498e-02,9.765488851e-01,9.815427595e-02,7.394293038e-03,2.494600998e+00,1.319620730e+00,1.560922337e-01,8.986816007e-01,-4.635263996e-01,-4.574616178e-03,2.205597425e+00,9.529558312e-01,1.792386215e+00,7.008976858e+00,1.229889928e-01,0.000000000e+00,0,none
3.026623934e+00,1.987467203e+00,5.604311237e+00,6.783336936e-01,7.312990207e+00,7.252983196e+00,-5.431734107e+00,8.763452124e-01,2.663071694e+00,9.580501859e-01,6.408077262e+00,3.648292862e+00,4.338219466e+01,7.455008310e+01,6.033477918e-01,1.000000000e+00,4,sensor_dropout
3.529467609e+00,1.734005558e+00,4.439985440e+00,5.350078463e-01,7.312990207e+00,5.686255882e+00,-5.077398483e+00,1.167161425e+00,3.664766567e+00,9.661564347e-01,6.125588475e+00,4.957783613e+00,4.260615803e+01,7.455008310e+01,5.526460784e-01,1.000000000e+00,4,sensor_dropout
4.069240200e+00,1.350039837e+00,2.373918773e+00,2.575811459e-01,7.312990207e+00,3.752432910e+00,-4.400934955e+00,1.658527923e+00,5.512662401e+00,9.710524833e-01,6.125588475e+00,7.195742994e+00,4.050026671e+01,7.455008310e+01,4.021093729e-01,9.900000000e-01,4,sensor_dropout
4.238528007e+00,1.213028784e+00,-4.115574536e-01,1.064271414e-01,7.312990207e+00,2.893366737e+00,-2.776393183e+00,2.313045819e+00,7.952324288e+00,9.730844649e-01,5.939804633e+00,1.014556855e+01,3.249509856e+01,7.353456440e+01,-1.523576920e-01,9.500000000e-01,4,sensor_dropout
7.079790835e-02,1.009123253e+00,-2.405487168e-01,-4.409191943e-02,2.899723877e+00,1.154083406e+00,-1.236324617e-01,1.081992070e+00,-2.365214744e-01,-7.283336845e-03,2.739095954e+00,1.150925454e+00,2.209333909e+00,9.093478628e+00,1.921607712e-02,0.000000000e+00,0,none
5.240452935e-02,1.063065048e+00,-2.997457829e-01,-6.318771822e-02,2.678856478e+00,1.252257953e+00,1.013642269e-01,8.217891731e-01,-3.439120592e-01,-1.017977145e-02,2.233198478e+00,9.480237783e-01,1.818465682e+00,9.207442398e+00,5.916736547e-02,0.000000000e+00,0,none
1.434436549e+00,1.475536808e+00,3.829357519e+00,5.873095454e-01,5.171891534e+00,4.820705599e+00,2.686137508e+00,2.118000589e+00,6.079382721e+00,6.950867755e-01,7.330300074e+00,7.724134815e+00,1.593607829e+01,8.048176122e+01,6.522600457e-01,4.600000000e-01,5,actuator_loss_of_effectiveness
1.917456762e+00,1.643520538e+00,4.413852137e+00,6.624739032e-01,5.991161419e+00,5.855108255e+00,3.305250293e+00,2.237524163e+00,6.580834763e+00,7.179969844e-01,8.178699215e+00,8.556713810e+00,2.230899407e+01,8.232173305e+01,6.772262718e-01,5.600000000e-01,5,actuator_loss_of_effectiveness
2.587123057e+00,1.889048421e+00,5.493264488e+00,7.123983921e-01,6.971245181e+00,7.287387976e+00,4.334647165e+00,2.539763935e+00,7.842040456e+00,7.768209062e-01,9.463652866e+00,1.016090067e+01,3.550127654e+01,1.381589849e+02,7.443440994e-01,7.000000000e-01,5,actuator_loss_of_effectiveness
4.151279842e+00,2.355320549e+00,7.386510608e+00,8.079257167e-01,9.934849378e+00,9.569962200e+00,6.446144686e+00,2.880989814e+00,9.087359540e+00,8.329212582e-01,1.334341720e+01,1.147829524e+01,7.263354283e+01,2.282004088e+02,8.128034662e-01,9.100000000e-01,5,actuator_loss_of_effectiveness
5.787632625e-02,9.226011869e-01,6.678912130e-01,4.540449533e-02,2.433308836e+00,1.480587688e+00,8.521945057e-02,8.868339988e-01,-2.945312402e-01,5.790270025e-02,2.119132060e+00,8.716206540e-01,1.648279516e+00,6.434640134e+00,-7.340980548e-03,0.000000000e+00,0,none
1.150886115e-03,9.687182171e-01,-6.138844916e-01,-1.863682388e-02,2.360475717e+00,1.371171865e+00,3.028113560e-02,9.823567410e-01,-2.301967172e-02,-6.031965048e-02,2.786409365e+00,1.020637316e+00,1.904358023e+00,8.434234717e+00,-1.586789696e-01,0.000000000e+00,0,none
-3.724491853e-01,1.104005100e+00,-2.030529895e+00,3.123474125e-01,3.743213005e+00,3.077443330e+00,-6.524045707e-01,1.289977995e+00,-2.877658545e+00,5.204008945e-01,3.771107401e+00,3.874231034e+00,3.447220608e+00,2.568963778e+01,3.133068186e-01,9.000000000e-02,6,actuator_stuck
-5.703087712e-01,1.109454787e+00,-2.165501932e+00,3.093178446e-01,3.743213005e+00,3.328407051e+00,-1.028072726e+00,1.525573023e+00,-4.003041059e+00,6.828671690e-01,5.298947360e+00,5.413223028e+00,4.940448597e+00,2.808298298e+01,3.964192678e-01,1.700000000e-01,6,actuator_stuck
-8.962923535e-01,1.147926904e+00,-2.428781215e+00,3.669956296e-01,3.743213005e+00,3.516666811e+00,-1.786236614e+00,1.947725315e+00,-5.632903126e+00,7.411825867e-01,7.035058826e+00,7.338631339e+00,9.105351304e+00,5.742244900e+01,5.323040524e-01,3.200000000e-01,6,actuator_stuck
-1.866861250e+00,1.617343356e+00,-4.359396325e+00,6.678035588e-01,5.835923010e+00,5.601734102e+00,-3.539859995e+00,2.677909038e+00,-8.569828868e+00,8.559751615e-01,9.775973734e+00,1.100140954e+01,2.580277606e+01,1.165054167e+02,7.500166604e-01,5.700000000e-01,6,actuator_stuck
-1.291156642e-01,1.045972345e+00,1.904919787e-01,-6.306462424e-02,2.509548515e+00,1.163220455e+00,-1.537188853e-01,9.101134058e-01,-1.543115062e-01,-1.021829479e-01,2.129540493e+00,1.076489938e+00,1.962664908e+00,6.824365104e+00,-1.514509310e-01,0.000000000e+00,0,none
1.218937486e-01,1.061084546e+00,2.164261744e-01,-1.254759419e-01,2.602031908e+00,9.515510614e-01,3.263212160e-02,1.016798730e+00,-9.461512292e-01,2.452354597e-01,2.749398490e+00,1.735664689e+00,2.175703013e+00,8.294746774e+00,-8.401758258e-02,0.000000000e+00,0,none
3.352581395e-01,8.935490513e-01,1.036269493e+00,9.106452406e-02,2.235634549e+00,1.572558096e+00,4.559286816e-01,9.334365761e-01,9.519746796e-01,7.105621205e-02,2.260117086e+00,1.619883128e+00,1.990002732e+00,6.495319083e+00,1.488908137e-01,0.000000000e+00,7,actuator_runaway
4.555247036e-01,9.584686952e-01,9.763756413e-01,-1.861279238e-02,3.116030810e+00,1.343603041e+00,6.006629388e-01,8.828596916e-01,9.975221289e-01,9.740103626e-02,2.289348045e+00,1.682235889e+00,2.266402196e+00,1.077437330e+01,7.624801261e-02,1.000000000e-02,7,actuator_runaway
5.819433691e-01,1.031687850e+00,1.257935735e+00,5.198809025e-02,3.435681820e+00,1.604976494e+00,8.288316983e-01,9.727761995e-01,1.808253667e+00,3.143846681e-01,3.144510542e+00,2.333515275e+00,3.036293423e+00,1.613653862e+01,9.825310439e-02,5.000000000e-02,7,actuator_runaway
9.040347220e-01,1.058323705e+00,1.240909289e+00,1.761066509e-02,3.435681820e+00,1.940180655e+00,1.255601917e+00,8.977345264e-01,1.785536031e+00,3.801525615e-01,4.231496525e+00,2.662533424e+00,4.319791296e+00,1.790626129e+01,6.643054606e-02,9.000000000e-02,7,actuator_runaway
6.975346303e-02,1.000412065e+00,-2.906483643e-01,7.018454769e-02,2.693002335e+00,1.264696880e+00,1.691681626e-02,9.522267911e-01,1.196623701e-01,-8.967488201e-03,2.547944163e+00,1.133689837e+00,1.912711886e+00,8.010985184e+00,-1.609408450e-01,0.000000000e+00,0,none
9.535926004e-02,9.657530426e-01,2.624375664e-01,1.316188386e-01,2.518513774e+00,1.470259717e+00,-1.025320535e-01,9.527828651e-01,-6.394318648e-01,-6.378895848e-02,3.363299820e+00,1.076649486e+00,1.860080338e+00,1.173736338e+01,1.499918262e-01,1.000000000e-02,0,none
8.282737647e-02,1.061675747e+00,-2.582122019e-01,-1.728938391e-01,2.451257287e+00,8.359506513e-01,1.131908867e-01,9.209192927e-01,-8.062484152e-02,-3.442095588e-02,2.405186371e+00,1.078879890e+00,1.994920286e+00,6.827115148e+00,4.405088617e-02,0.000000000e+00,0,none
3.048742808e-02,1.057506675e+00,-2.263459923e-01,-1.563384486e-01,2.451257287e+00,5.953703092e-01,5.135953555e-02,9.048476033e-01,-4.245812424e-01,-3.403539320e-03,2.087238540e+00,7.156203838e-01,1.940636838e+00,6.827115148e+00,9.556411080e-02,0.000000000e+00,0,none
-4.096175826e-03,1.050250991e+00,-8.202342968e-03,-1.318926738e-01,2.451257287e+00,6.903574020e-01,-8.478342882e-02,8.953665168e-01,-5.312173841e-01,5.093476357e-02,2.630496026e+00,1.373012470e+00,1.911913352e+00,7.419468956e+00,9.578922647e-02,0.000000000e+00,0,none
-1.587674636e-02,1.015040102e+00,-3.018089584e-01,-8.164433725e-02,2.451257287e+00,6.941086101e-01,-9.670170736e-02,9.498772979e-01,-3.644210925e-01,2.246474463e-01,2.630496026e+00,1.347475634e+00,1.942176581e+00,7.419468956e+00,8.048961633e-02,0.000000000e+00,0,none
2.197534511e-02,1.186323153e+00,-1.061308032e+00,2.728576178e-02,2.593587975e+00,2.210581737e+00,5.970045098e-02,9.547301478e-01,6.924770537e-02,-8.959244026e-02,2.379723393e+00,9.542210486e-01,2.322919338e+00,9.325850533e+00,-3.556445108e-02,1.000000000e-02,0,none
4.252954586e-02,9.421861644e-01,1.405348846e-01,1.058195163e-01,2.495134057e+00,1.245783618e+00,-1.982795530e-02,9.250923610e-01,1.189106283e-01,-2.659522209e-03,2.795106306e+00,7.688722589e-01,1.745712555e+00,9.790301448e+00,-5.622780649e-02,1.000000000e-02,0,none
1.302710187e+00,1.066271239e+00,1.916411384e+00,2.121923576e-01,3.971202568e+00,2.401120651e+00,-2.371979997e+00,1.047317927e+00,1.060179177e+00,-4.003047566e-03,5.495490068e+00,1.704396019e+00,9.557152135e+00,3.072360533e+01,1.228478561e-01,4.600000000e-01,1,sensor_bias
1.518413535e+00,9.647200977e-01,1.481705085e+00,2.268533557e-01,3.971202568e+00,2.195536233e+00,-2.294628610e+00,9.964592682e-01,3.609460166e-01,-1.414652425e-01,4.288334133e+00,1.289700408e+00,9.494516062e+00,2.366955865e+01,2.519715950e-02,4.600000000e-01,1,sensor_bias
1.700929322e+00,9.516517975e-01,1.190538870e+00,1.349632076e-01,3.971202568e+00,1.904054579e+00,-2.242896167e+00,1.008262298e+00,-1.937079262e-02,-1.626903556e-01,4.113500597e+00,9.741325058e-01,9.845977783e+00,2.366955865e+01,-2.515254756e-02,4.800000000e-01,1,sensor_bias
1.951172412e+00,9.414497776e-01,1.192893772e+00,1.977716948e-01,4.169937212e+00,1.956845385e+00,-2.250759862e+00,1.006175657e+00,-3.698971162e-01,-1.247083890e-01,4.262363345e+00,1.203058921e+00,1.077171088e+01,3.555611763e+01,-3.734687016e-02,5.300000000e-01,1,sensor_bias
-9.929022951e-02,9.043806474e-01,-1.760451090e-01,4.794703390e-02,2.346975364e+00,1.277732665e+00,1.003494083e-01,1.076632042e+00,-4.714326445e-01,5.146935223e-02,2.817237384e+00,1.163274216e+00,1.996969463e+00,9.224259883e+00,-7.037438307e-02,1.000000000e-02,0,none
6.442599684e-02,9.613248608e-01,7.354013032e-01,1.511154289e-01,2.368428488e+00,1.391942664e+00,9.762275788e-02,9.633169432e-01,-6.287771982e-02,-1.171038307e-01,3.116414174e+00,1.476226500e+00,1.865805933e+00,1.238287605e+01,1.200783777e-01,1.000000000e-02,0,none
1.422194893e-01,8.617564124e-01,7.313778813e-01,-5.388680492e-02,2.236716733e+00,1.260160198e+00,-7.554862288e-01,1.120110651e+00,-1.542837813e+00,2.628677203e-01,3.168418275e+00,2.411222660e+00,2.588257811e+00,1.199963679e+01,-3.251042210e-02,1.000000000e-02,2,sensor_drift
2.422806024e-01,8.585258683e-01,5.517295266e-01,-1.157138214e-01,2.120805064e+00,1.024735096e+00,-9.268176666e-01,9.892073691e-01,-7.481266035e-01,1.034262021e-01,3.168418275e+00,1.618208421e+00,2.633288763e+00,1.199963679e+01,1.534423666e-02,1.000000000e-02,2,sensor_drift
3.967996335e-01,8.774905547e-01,9.267111937e-01,5.847473628e-02,2.472950130e+00,1.363398882e+00,-9.985524670e-01,9.053273773e-01,-3.594995403e-01,1.598344211e-01,3.168418275e+00,1.333582094e+00,2.744164312e+00,1.199963679e+01,-3.017443224e-02,1.000000000e-02,2,sensor_drift
6.310155098e-01,9.142473225e-01,1.260110158e+00,1.359752462e-01,2.644626666e+00,1.912772905e+00,-1.296577487e+00,9.860833713e-01,-7.641105849e-01,2.213829954e-01,3.721111777e+00,1.736595771e+00,3.887502335e+00,1.725879377e+01,-8.153843367e-02,6.000000000e-02,2,sensor_drift
4.637806629e-02,1.106762530e+00,-3.286127702e-01,-1.020507984e-01,3.128818065e+00,1.482530122e+00,-4.821348142e-02,9.379423535e-01,6.310447372e-01,3.396547154e-02,2.856410681e+00,1.221172093e+00,2.109134622e+00,9.831394761e+00,-9.258933086e-02,1.000000000e-02,0,none
-6.122889979e-02,1.034375362e+00,-7.612861207e-01,1.350792377e-02,3.174219015e+00,1.596690717e+00,-1.173609506e-01,9.584873097e-01,3.392277060e-01,-1.264854264e-01,2.730599725e+00,8.641687595e-01,2.006152883e+00,1.468001718e+01,-5.838130627e-02,3.000000000e-02,0,none
5.066530250e+00,3.224437010e+00,1.116895186e+01,9.694551117e-01,1.072220981e+01,1.395547294e+01,-1.422888739e+00,1.580596908e+00,-4.398898720e+00,6.809894041e-01,5.221215281e+00,5.527146216e+00,4.058962175e+01,1.365699728e+02,-8.020975955e-01,6.900000000e-01,3,sensor_stuck
6.194437871e+00,3.262212033e+00,1.129930085e+01,9.699052711e-01,1.191052980e+01,1.410380194e+01,-1.879650209e+00,1.632116405e+00,-4.548641639e+00,6.517033171e-01,6.034380461e+00,5.630605653e+00,5.520997676e+01,1.740317047e+02,-8.036143319e-01,7.900000000e-01,3,sensor_stuck
7.911500127e+00,3.336217995e+00,1.155520245e+01,9.699677844e-01,1.380285221e+01,1.444059289e+01,-2.667273524e+00,1.817156604e+00,-5.282289042e+00,7.411125132e-01,7.578839990e+00,6.505307250e+00,8.413859095e+01,2.440086000e+02,-8.399623773e-01,9.400000000e-01,3,sensor_stuck
1.087915174e+01,3.492387331e+00,1.209408034e+01,9.702538430e-01,1.698982610e+01,1.511129277e+01,-4.448594564e+00,2.505692183e+00,-7.814100670e+00,8.431010228e-01,1.002524185e+01,1.023893723e+01,1.566211988e+02,3.839680719e+02,-9.048159808e-01,1.000000000e+00,3,sensor_stuck
-1.019515437e-01,9.711776316e-01,-7.360578601e-02,-5.576840549e-02,2.922844078e+00,1.022906172e+00,-6.406357836e-02,9.346157963e-01,-5.150531605e-01,1.329127050e-01,2.524716673e+00,1.557575942e+00,1.831190938e+00,8.600908410e+00,-3.120701721e-02,0.000000000e+00,0,none
2.248651539e-02,9.942530967e-01,-6.219538642e-01,-4.337144235e-02,2.463939648e+00,1.209304579e+00,1.329803031e-01,1.045817138e+00,7.449116838e-02,3.445882715e-04,3.108270066e+00,1.158526280e+00,2.100462111e+00,1.038465708e+01,-1.314292053e-01,1.000000000e-02,0,none
-2.696820022e+00,1.758942280e+00,-5.195744773e+00,6.938878979e-01,6.397220277e+00,6.597620494e+00,5.542902726e+00,8.657070319e-01,2.805431010e+00,9.766597103e-01,6.421023384e+00,3.811089152e+00,4.183993547e+01,8.149953016e+01,-8.232100412e-01,1.000000000e+00,4,sensor_dropout
-3.198536139e+00,1.732191256e+00,-4.796257849e+00,6.393150231e-01,8.162305798e+00,6.154100627e+00,5.747884045e+00,6.807766676e-01,1.963289342e+00,9.706476999e-01,6.421023384e+00,2.866317007e+00,4.673274784e+01,1.031515665e+02,-7.038955831e-01,1.000000000e+00,4,sensor_dropout
-3.786586084e+00,1.610812234e+00,-4.037792459e+00,5.322866544e-01,8.162305798e+00,5.632856993e+00,5.908858264e+00,4.395061050e-01,4.266958179e-01,9.539696025e-01,6.421023384e+00,1.864974698e+00,5.204072183e+01,1.031515665e+02,-3.903404880e-01,1.000000000e+00,4,sensor_dropout
-4.678336511e+00,1.440611475e+00,-2.805490959e+00,3.956124787e-01,8.507207815e+00,3.844693957e+00,5.700712475e+00,7.435451679e-01,-2.212414135e+00,9.656098522e-01,6.421023384e+00,3.130296807e+00,5.701317607e+01,1.031515665e+02,3.626825650e-01,1.000000000e+00,4,sensor_dropout
1.057956379e-01,1.002587346e+00,-4.268565624e-01,1.159123812e-01,3.233297483e+00,8.323678050e-01,-1.274483820e-01,9.452166511e-01,1.029854864e-01,-5.921940892e-02,2.322194717e+00,1.169736749e+00,1.926051711e+00,1.180224344e+01,3.857482454e-02,2.000000000e-02,0,none
5.708086754e-02,8.934131158e-01,4.342826690e-01,1.125734201e-01,2.369778421e+00,1.163532744e+00,-7.775562325e-02,9.877084031e-01,3.635221080e-01,-3.727329698e-02,2.293067724e+00,1.413627493e+00,1.783059048e+00,8.463874370e+00,-9.455168973e-03,0.000000000e+00,0,none
5.019044347e-02,9.498032129e-01,-3.146224832e-01,-2.687889533e-01,2.571084092e+00,1.002091425e+00,-1.516777201e-02,9.417032442e-01,1.034574897e-02,-4.723953459e-02,2.877685450e+00,9.003866995e-01,1.791680285e+00,8.923032521e+00,3.235118572e-02,0.000000000e+00,5,actuator_loss_of_effectiveness
3.673447484e-02,9.419774229e-01,-1.244362813e-01,-2.527629007e-01,2.571084092e+00,9.496131475e-01,-3.826406521e-03,9.498487517e-01,-5.394002166e-01,-4.147147160e-02,2.877685450e+00,8.119240488e-01,1.790898179e+00,8.923032521e+00,3.302051427e-02,0.000000000e+00,5,actuator_loss_of_effectiveness
6.584892318e-03,9.593000554e-01,-8.274839041e-02,-2.272441927e-01,2.571084092e+00,8.474007858e-01,-7.663210641e-02,9.041486504e-01,-9.689682682e-02,-8.596574134e-02,2.517762086e+00,8.331535334e-01,1.743657219e+00,6.619411280e+00,3.250898194e-03,0.000000000e+00,5,actuator_loss_of_effectiveness
1.114798526e-01,9.891975470e-01,6.531538410e-01,-4.208483179e-03,2.649878783e+00,1.418721320e+00,3.787579012e-02,1.015423784e+00,4.288674553e-01,-7.187751723e-02,2.704926839e+00,1.382030337e+00,2.023459582e+00,1.056759332e+01,7.545958328e-02,1.000000000e-02,5,actuator_loss_of_effectiveness
6.752353603e-02,1.024944879e+00,-4.170059591e-01,7.595702541e-02,2.635898955e+00,1.067883385e+00,-6.390217691e-02,8.787204376e-01,3.412641979e-02,-1.779516957e-02,2.128719609e+00,6.892683261e-01,1.831304528e+00,1.147941047e+01,-1.362736413e-01,1.000000000e-02,0,none
-1.370193230e-01,9.904213936e-01,4.842395809e-01,-1.086068049e-02,2.925892815e+00,1.053443989e+00,4.134306892e-02,9.376876903e-01,-1.460665722e-01,-6.961740459e-03,2.459126508e+00,8.737694461e-01,1.880676286e+00,9.106367072e+00,-8.455386079e-02,0.000000000e+00,0,none
-2.714060339e-01,1.128606912e+00,-1.685713325e+00,8.458193623e-02,2.972857671e+00,2.853536381e+00,-1.067061221e+00,1.295036615e+00,-3.062142895e+00,4.666181833e-01,4.336894488e+00,4.168435579e+00,4.163154282e+00,2.389611504e+01,3.971994566e-01,1.100000000e-01,6,actuator_stuck
-5.102329111e-01,1.192991570e+00,-2.240020169e+00,1.926268589e-01,2.972857671e+00,3.302888746e+00,-1.449250536e+00,1.498428744e+00,-4.046771249e+00,6.178964456e-01,4.650590888e+00,5.083011575e+00,6.029182328e+00,2.936930237e+01,5.157527199e-01,2.100000000e-01,6,actuator_stuck
-9.237332872e-01,1.429620499e+00,-3.565372148e+00,4.380988480e-01,4.189989385e+00,4.637089233e+00,-2.182720192e+00,1.710246179e+00,-4.981530641e+00,7.617832961e-01,6.100656986e+00,6.419870550e+00,1.058630738e+01,5.103688900e+01,6.786735261e-01,3.600000000e-01,6,actuator_stuck
-1.937710361e+00,1.731905561e+00,-4.983004739e+00,6.325525019e-01,6.323832180e+00,6.272734876e+00,-3.708080767e+00,2.308241574e+00,-7.201442498e+00,8.071352692e-01,9.487493162e+00,9.299588463e+00,2.583206045e+01,1.258197019e+02,7.793622438e-01,6.100000000e-01,6,actuator_stuck
