seed,log10_rate_proxy,log10_mean_field_t,rate_trend_per_1000s,saturation_duty,field_variability,log10_max_dipole,log10_inertia_scale,log10_elapsed_s,label_log10_gain_ratio
1000,-1.319950617e+00,-4.445243176e+00,-1.656707801e+00,0.000000000e+00,2.139519313e-02,-3.170344138e-01,-1.218698227e+00,2.557507202e+00,2.857142857e-01
1000,-1.369141949e+00,-4.461954579e+00,-1.547277343e+00,0.000000000e+00,2.305011376e-02,-3.170344138e-01,-1.218698227e+00,2.592176757e+00,2.857142857e-01
1000,-1.422260704e+00,-4.479858243e+00,-1.924609852e+00,0.000000000e+00,2.455986302e-02,-3.170344138e-01,-1.218698227e+00,2.624282096e+00,2.857142857e-01
1000,-1.475213789e+00,-4.498816904e+00,-1.913375919e+00,0.000000000e+00,2.584768937e-02,-3.170344138e-01,-1.218698227e+00,2.654176542e+00,2.857142857e-01
1000,-1.548084248e+00,-4.518625445e+00,-2.607969664e+00,0.000000000e+00,2.680948156e-02,-3.170344138e-01,-1.218698227e+00,2.682145076e+00,2.857142857e-01
1000,-1.613818787e+00,-4.538988358e+00,-1.828756361e+00,0.000000000e+00,2.730892194e-02,-3.170344138e-01,-1.218698227e+00,2.708420900e+00,2.857142857e-01
1000,-1.680621680e+00,-4.559494668e+00,-2.950358810e+00,0.000000000e+00,2.717607513e-02,-3.170344138e-01,-1.218698227e+00,2.733197265e+00,2.857142857e-01
1000,-1.767608192e+00,-4.579594509e+00,-1.483180264e+00,0.000000000e+00,2.621406804e-02,-3.170344138e-01,-1.218698227e+00,2.756636108e+00,2.857142857e-01
1000,-1.777521570e+00,-4.598585788e+00,-3.909364425e-01,0.000000000e+00,2.422046649e-02,-3.170344138e-01,-1.218698227e+00,2.778874472e+00,2.857142857e-01
1000,-1.780652393e+00,-4.615624348e+00,1.228662707e+00,0.000000000e+00,2.102985420e-02,-3.170344138e-01,-1.218698227e+00,2.800029359e+00,2.857142857e-01
1000,-1.698606469e+00,-4.629773788e+00,2.840592822e+00,0.000000000e+00,1.657880828e-02,-3.170344138e-01,-1.218698227e+00,2.820201459e+00,2.857142857e-01
1000,-1.638529284e+00,-4.640106035e+00,1.625395497e+00,0.000000000e+00,1.098499660e-02,-3.170344138e-01,-1.218698227e+00,2.839478047e+00,2.857142857e-01
1000,-1.586523572e+00,-4.645845749e+00,1.992438308e+00,0.000000000e+00,4.686490399e-03,-3.170344138e-01,-1.218698227e+00,2.857935265e+00,2.857142857e-01
1000,-1.529471307e+00,-4.646523688e+00,1.257134007e+00,0.000000000e+00,3.106332945e-03,-3.170344138e-01,-1.218698227e+00,2.875639937e+00,2.857142857e-01
1000,-1.506536504e+00,-4.642083523e+00,7.600556196e-01,0.000000000e+00,9.366351515e-03,-3.170344138e-01,-1.218698227e+00,2.892651034e+00,2.857142857e-01
1000,-1.486455595e+00,-4.632895352e+00,3.214150660e-01,0.000000000e+00,1.520321921e-02,-3.170344138e-01,-1.218698227e+00,2.909020854e+00,2.857142857e-01
1000,-1.487323700e+00,-4.619669585e+00,-2.770162732e-01,0.000000000e+00,1.996851706e-02,-3.170344138e-01,-1.218698227e+00,2.924795996e+00,2.857142857e-01
1000,-1.501093940e+00,-4.603309951e+00,-6.789679524e-01,0.000000000e+00,2.348315280e-02,-3.170344138e-01,-1.218698227e+00,2.940018155e+00,2.857142857e-01
1000,-1.527925628e+00,-4.584762319e+00,-1.004053164e+00,0.000000000e+00,2.577184543e-02,-3.170344138e-01,-1.218698227e+00,2.954724791e+00,2.857142857e-01
1000,-1.561253898e+00,-4.564901162e+00,-1.421735589e+00,0.000000000e+00,2.698076418e-02,-3.170344138e-01,-1.218698227e+00,2.968949681e+00,2.857142857e-01
1000,-1.615664259e+00,-4.544467284e+00,-2.027040587e+00,0.000000000e+00,2.730783960e-02,-3.170344138e-01,-1.218698227e+00,2.982723388e+00,2.857142857e-01
1000,-1.677250902e+00,-4.524048993e+00,-2.012162736e+00,0.000000000e+00,2.695416919e-02,-3.170344138e-01,-1.218698227e+00,2.996073654e+00,2.857142857e-01
1000,-1.742545157e+00,-4.504090860e+00,-2.819167718e+00,0.000000000e+00,2.609771428e-02,-3.170344138e-01,-1.218698227e+00,3.009025742e+00,2.857142857e-01
1000,-1.847355351e+00,-4.484915553e+00,-4.059571676e+00,0.000000000e+00,2.488352764e-02,-3.170344138e-01,-1.218698227e+00,3.021602716e+00,2.857142857e-01
1000,-1.982453928e+00,-4.466749037e+00,-4.204398488e+00,0.000000000e+00,2.342361827e-02,-3.170344138e-01,-1.218698227e+00,3.033825694e+00,2.857142857e-01
1000,-2.093460363e+00,-4.449743985e+00,-3.910893494e+00,0.000000000e+00,2.180123960e-02,-3.170344138e-01,-1.218698227e+00,3.045714059e+00,2.857142857e-01
1000,-2.233202894e+00,-4.433999348e+00,-5.682619463e+00,0.000000000e+00,2.007648352e-02,-3.170344138e-01,-1.218698227e+00,3.057285644e+00,2.857142857e-01
1000,-2.413498741e+00,-4.419575763e+00,-3.454072375e+00,0.000000000e+00,1.829163696e-02,-3.170344138e-01,-1.218698227e+00,3.068556895e+00,2.857142857e-01
1000,-2.410759093e+00,-4.406507218e+00,3.405575719e+00,0.000000000e+00,1.647570238e-02,-3.170344138e-01,-1.218698227e+00,3.079543007e+00,2.857142857e-01
1000,-2.246665306e+00,-4.394809676e+00,4.729405627e+00,0.000000000e+00,1.464796706e-02,-3.170344138e-01,-1.218698227e+00,3.090258053e+00,2.857142857e-01
1000,-2.139165191e+00,-4.384487348e+00,2.617213606e+00,0.000000000e+00,1.282071588e-02,-3.170344138e-01,-1.218698227e+00,3.100715087e+00,2.857142857e-01
1000,-2.083463824e+00,-4.375537205e+00,1.485941576e+00,0.000000000e+00,1.100125124e-02,-3.170344138e-01,-1.218698227e+00,3.110926242e+00,2.857142857e-01
1000,-2.043356108e+00,-4.367952185e+00,1.927575534e+00,0.000000000e+00,9.193392985e-03,-3.170344138e-01,-1.218698227e+00,3.120902818e+00,2.857142857e-01
1000,-1.968848910e+00,-4.361723471e+00,1.880554410e+00,0.000000000e+00,7.398632261e-03,-3.170344138e-01,-1.218698227e+00,3.130655349e+00,2.857142857e-01
1000,-1.943293509e+00,-4.356842075e+00,2.874425279e-01,0.000000000e+00,5.617176477e-03,-3.170344138e-01,-1.218698227e+00,3.140193679e+00,2.857142857e-01
1000,-1.937673019e+00,-4.353299947e+00,5.332215068e-01,0.000000000e+00,3.849561156e-03,-3.170344138e-01,-1.218698227e+00,3.149527014e+00,2.857142857e-01
1000,-1.915651586e+00,-4.351090716e+00,4.264991615e-01,0.000000000e+00,2.103406191e-03,-3.170344138e-01,-1.218698227e+00,3.158663981e+00,2.857142857e-01
1000,-1.910476357e+00,-4.350210167e+00,2.206232570e-01,0.000000000e+00,5.390918909e-04,-3.170344138e-01,-1.218698227e+00,3.167612673e+00,2.857142857e-01
1000,-1.906689666e+00,-4.350656519e+00,-9.739333192e-02,0.000000000e+00,1.544385127e-03,-3.170344138e-01,-1.218698227e+00,3.176380692e+00,2.857142857e-01
1000,-1.917288270e+00,-4.352430529e+00,-3.898469124e-01,0.000000000e+00,3.274517018e-03,-3.170344138e-01,-1.218698227e+00,3.184975191e+00,2.857142857e-01
1000,-1.919067695e+00,-4.355535432e+00,2.075938116e-01,0.000000000e+00,5.036203128e-03,-3.170344138e-01,-1.218698227e+00,3.193402903e+00,2.857142857e-01
1001,-1.195316281e+00,-4.678705407e+00,-1.317411325e-01,0.000000000e+00,1.932552846e-03,-9.405445441e-01,-1.139693464e+00,1.785329835e+00,2.857142857e-01
1001,-1.208218096e+00,-4.675597478e+00,-1.012934744e+00,0.000000000e+00,7.313947348e-03,-9.405445441e-01,-1.139693464e+00,1.959041392e+00,2.857142857e-01
1001,-1.238265584e+00,-4.668115779e+00,-7.187054505e-01,0.000000000e+00,1.275294300e-02,-9.405445441e-01,-1.139693464e+00,2.082785370e+00,2.857142857e-01
1001,-1.275380401e+00,-4.656801440e+00,-1.604614922e+00,0.000000000e+00,1.736058256e-02,-9.405445441e-01,-1.139693464e+00,2.178976947e+00,2.857142857e-01
1001,-1.314013797e+00,-4.642392604e+00,-1.161082516e+00,0.000000000e+00,2.092176487e-02,-9.405445441e-01,-1.139693464e+00,2.257678575e+00,2.857142857e-01
1001,-1.355546783e+00,-4.625702838e+00,-2.514192888e+00,0.000000000e+00,2.340389095e-02,-9.405445441e-01,-1.139693464e+00,2.324282455e+00,2.857142857e-01
1001,-1.414286567e+00,-4.607519222e+00,-6.472664415e-01,0.000000000e+00,2.489246208e-02,-9.405445441e-01,-1.139693464e+00,2.382017043e+00,2.857142857e-01
1001,-1.447798728e+00,-4.588537125e+00,-5.593722183e+00,0.000000000e+00,2.553547300e-02,-9.405445441e-01,-1.139693464e+00,2.432969291e+00,2.857142857e-01
1001,-1.514488828e+00,-4.569331182e+00,8.701372634e-01,0.000000000e+00,2.549961513e-02,-9.405445441e-01,-1.139693464e+00,2.478566496e+00,2.857142857e-01
1001,-1.582256764e+00,-4.550352681e+00,-5.753724080e+00,0.000000000e+00,2.494267185e-02,-9.405445441e-01,-1.139693464e+00,2.519827994e+00,2.857142857e-01
1001,-1.680752201e+00,-4.531942037e+00,-2.197309898e-01,0.000000000e+00,2.400007289e-02,-9.405445441e-01,-1.139693464e+00,2.557507202e+00,2.857142857e-01
1001,-1.730000679e+00,-4.514347492e+00,-2.294663772e+00,0.000000000e+00,2.278100608e-02,-9.405445441e-01,-1.139693464e+00,2.592176757e+00,2.857142857e-01
1001,-1.726727657e+00,-4.497744550e+00,1.828944077e+00,0.000000000e+00,2.136978487e-02,-9.405445441e-01,-1.139693464e+00,2.624282096e+00,2.857142857e-01
1001,-1.721513552e+00,-4.482253408e+00,-1.878581387e+00,0.000000000e+00,1.982947854e-02,-9.405445441e-01,-1.139693464e+00,2.654176542e+00,2.857142857e-01
1001,-1.639823703e+00,-4.467953396e+00,6.262972944e+00,0.000000000e+00,1.820607755e-02,-9.405445441e-01,-1.139693464e+00,2.682145076e+00,2.857142857e-01
1001,-1.635789322e+00,-4.454894359e+00,-5.992001806e+00,0.000000000e+00,1.653235506e-02,-9.405445441e-01,-1.139693464e+00,2.708420900e+00,2.857142857e-01
1001,-1.638021330e+00,-4.443105366e+00,6.420001526e+00,0.000000000e+00,1.483111004e-02,-9.405445441e-01,-1.139693464e+00,2.733197265e+00,2.857142857e-01
1001,-1.601556819e+00,-4.432601230e+00,-3.147966822e+00,0.000000000e+00,1.311774592e-02,-9.405445441e-01,-1.139693464e+00,2.756636108e+00,2.857142857e-01
1001,-1.617870822e+00,-4.423387319e+00,2.346961917e+00,0.000000000e+00,1.140225764e-02,-9.405445441e-01,-1.139693464e+00,2.778874472e+00,2.857142857e-01
1001,-1.597301824e+00,-4.415463071e+00,-2.373864102e+00,0.000000000e+00,9.690741347e-03,-9.405445441e-01,-1.139693464e+00,2.800029359e+00,2.857142857e-01
1001,-1.615707999e+00,-4.408824538e+00,1.853398058e+00,0.000000000e+00,7.986552864e-03,-9.405445441e-01,-1.139693464e+00,2.820201459e+00,2.857142857e-01
1001,-1.543711084e+00,-4.403466217e+00,1.501423825e+00,0.000000000e+00,6.291266640e-03,-9.405445441e-01,-1.139693464e+00,2.839478047e+00,2.857142857e-01
1001,-1.644555008e+00,-4.399382343e+00,-4.671671068e+00,0.000000000e+00,4.605738407e-03,-9.405445441e-01,-1.139693464e+00,2.857935265e+00,2.857142857e-01
1001,-1.648386458e+00,-4.396567799e+00,3.061502185e+00,0.000000000e+00,2.932591191e-03,-9.405445441e-01,-1.139693464e+00,2.875639937e+00,2.857142857e-01
1001,-1.603284789e+00,-4.395018728e+00,-1.291797451e+00,0.000000000e+00,1.294313736e-03,-9.405445441e-01,-1.139693464e+00,2.892651034e+00,2.857142857e-01
1001,-1.676768540e+00,-4.394732916e+00,-1.926207372e+00,0.000000000e+00,6.316016605e-04,-9.405445441e-01,-1.139693464e+00,2.909020854e+00,2.857142857e-01
1001,-1.650832189e+00,-4.395709988e+00,2.555827397e+00,0.000000000e+00,2.182709696e-03,-9.405445441e-01,-1.139693464e+00,2.924795996e+00,2.857142857e-01
1001,-1.622408544e+00,-4.397951453e+00,-8.228045447e-01,0.000000000e+00,3.846778699e-03,-9.405445441e-01,-1.139693464e+00,2.940018155e+00,2.857142857e-01
1001,-1.697689077e+00,-4.401460574e+00,-3.859301245e+00,0.000000000e+00,5.527761885e-03,-9.405445441e-01,-1.139693464e+00,2.954724791e+00,2.857142857e-01
1001,-1.767445500e+00,-4.406242075e+00,-1.638353738e-01,0.000000000e+00,7.219322399e-03,-9.405445441e-01,-1.139693464e+00,2.968949681e+00,2.857142857e-01
1001,-1.732798247e+00,-4.412301641e+00,1.239731319e+00,0.000000000e+00,8.920341007e-03,-9.405445441e-01,-1.139693464e+00,2.982723388e+00,2.857142857e-01
1002,-1.312012918e+00,-4.482513662e+00,-5.323495915e+00,0.000000000e+00,1.730540833e-02,-3.112773069e-01,-1.396839927e+00,1.785329835e+00,5.714285714e-01
1002,-1.402356138e+00,-4.496049017e+00,-4.819261924e+00,0.000000000e+00,1.869184628e-02,-3.112773069e-01,-1.396839927e+00,1.959041392e+00,5.714285714e-01
1002,-1.485336546e+00,-4.510587158e+00,-2.919101555e+00,0.000000000e+00,1.996798356e-02,-3.112773069e-01,-1.396839927e+00,2.082785370e+00,5.714285714e-01
1002,-1.516351992e+00,-4.526027914e+00,1.490332580e+00,0.000000000e+00,2.108699177e-02,-3.112773069e-01,-1.396839927e+00,2.178976947e+00,5.714285714e-01
1002,-1.507361565e+00,-4.542230599e+00,4.286088300e+00,0.000000000e+00,2.198776693e-02,-3.112773069e-01,-1.396839927e+00,2.257678575e+00,5.714285714e-01
1002,-1.491203764e+00,-4.559002398e+00,5.754577949e+00,0.000000000e+00,2.259273066e-02,-3.112773069e-01,-1.396839927e+00,2.324282455e+00,5.714285714e-01
1002,-1.445702853e+00,-4.576085501e+00,4.306594206e+00,0.000000000e+00,2.280688239e-02,-3.112773069e-01,-1.396839927e+00,2.382017043e+00,5.714285714e-01
1002,-1.384701170e+00,-4.593144464e+00,2.840602396e+00,0.000000000e+00,2.251961685e-02,-3.112773069e-01,-1.396839927e+00,2.432969291e+00,5.714285714e-01
1002,-1.316546901e+00,-4.609756650e+00,1.470766619e+00,0.000000000e+00,2.161147153e-02,-3.112773069e-01,-1.396839927e+00,2.478566496e+00,5.714285714e-01
1002,-1.269922523e+00,-4.625410342e+00,4.734294698e-01,0.000000000e+00,1.996827287e-02,-3.112773069e-01,-1.396839927e+00,2.519827994e+00,5.714285714e-01
1002,-1.219187400e+00,-4.639516719e+00,3.278466181e-01,0.000000000e+00,1.750436418e-02,-3.112773069e-01,-1.396839927e+00,2.557507202e+00,5.714285714e-01
1002,-1.188033407e+00,-4.651442052e+00,4.256965675e-01,0.000000000e+00,1.419394653e-02,-3.112773069e-01,-1.396839927e+00,2.592176757e+00,5.714285714e-01
1002,-1.176905122e+00,-4.660563466e+00,6.084065414e-01,0.000000000e+00,1.010594648e-02,-3.112773069e-01,-1.396839927e+00,2.624282096e+00,5.714285714e-01
1002,-1.180939304e+00,-4.666344363e+00,2.839954038e-01,0.000000000e+00,5.448031022e-03,-3.112773069e-01,-1.396839927e+00,2.654176542e+00,5.714285714e-01
1002,-1.183462063e+00,-4.668415275e+00,-1.965024812e-01,0.000000000e+00,1.347544975e-03,-3.112773069e-01,-1.396839927e+00,2.682145076e+00,5.714285714e-01
1002,-1.198398272e+00,-4.666637885e+00,-8.177827405e-01,0.000000000e+00,5.078979401e-03,-3.112773069e-01,-1.396839927e+00,2.708420900e+00,5.714285714e-01
1002,-1.217450508e+00,-4.661130715e+00,-1.162312695e+00,0.000000000e+00,9.765899010e-03,-3.112773069e-01,-1.396839927e+00,2.733197265e+00,5.714285714e-01
1002,-1.268574512e+00,-4.652247059e+00,-1.199630167e+00,0.000000000e+00,1.390835136e-02,-3.112773069e-01,-1.396839927e+00,2.756636108e+00,5.714285714e-01
1002,-1.293541523e+00,-4.640513277e+00,-2.451164842e+00,0.000000000e+00,1.728363667e-02,-3.112773069e-01,-1.396839927e+00,2.778874472e+00,5.714285714e-01
1002,-1.366902861e+00,-4.626548394e+00,-1.223669332e+00,0.000000000e+00,1.981392977e-02,-3.112773069e-01,-1.396839927e+00,2.800029359e+00,5.714285714e-01
1002,-1.454455235e+00,-4.610987611e+00,-3.614642164e+00,0.000000000e+00,2.151888031e-02,-3.112773069e-01,-1.396839927e+00,2.820201459e+00,5.714285714e-01
1002,-1.516793002e+00,-4.594424725e+00,-1.720690842e+00,0.000000000e+00,2.248067107e-02,-3.112773069e-01,-1.396839927e+00,2.839478047e+00,5.714285714e-01
1002,-1.580790885e+00,-4.577378154e+00,-2.762936902e+00,0.000000000e+00,2.281220165e-02,-3.112773069e-01,-1.396839927e+00,2.857935265e+00,5.714285714e-01
1002,-1.680259947e+00,-4.560277585e+00,-3.613255850e+00,0.000000000e+00,2.263314236e-02,-3.112773069e-01,-1.396839927e+00,2.875639937e+00,5.714285714e-01
1002,-1.663489788e+00,-4.543465016e+00,1.429684381e+00,0.000000000e+00,2.205511629e-02,-3.112773069e-01,-1.396839927e+00,2.892651034e+00,5.714285714e-01
1002,-1.734431081e+00,-4.527203902e+00,-4.102768950e+00,0.000000000e+00,2.117446039e-02,-3.112773069e-01,-1.396839927e+00,2.909020854e+00,5.714285714e-01
1002,-1.696011048e+00,-4.511691679e+00,4.451576380e+00,0.000000000e+00,2.007010758e-02,-3.112773069e-01,-1.396839927e+00,2.924795996e+00,5.714285714e-01
1002,-1.686909288e+00,-4.497072679e+00,-3.004012547e+00,0.000000000e+00,1.880438136e-02,-3.112773069e-01,-1.396839927e+00,2.940018155e+00,5.714285714e-01
1002,-1.664565361e+00,-4.483449873e+00,4.548423203e+00,0.000000000e+00,1.742513629e-02,-3.112773069e-01,-1.396839927e+00,2.954724791e+00,5.714285714e-01
1002,-1.656990825e+00,-4.470894816e+00,-3.212700240e+00,0.000000000e+00,1.596829546e-02,-3.112773069e-01,-1.396839927e+00,2.968949681e+00,5.714285714e-01
1002,-1.632889090e+00,-4.459455711e+00,4.201539290e+00,0.000000000e+00,1.446028737e-02,-3.112773069e-01,-1.396839927e+00,2.982723388e+00,5.714285714e-01
1002,-1.634684208e+00,-4.449163746e+00,-3.576746810e+00,0.000000000e+00,1.292016741e-02,-3.112773069e-01,-1.396839927e+00,2.996073654e+00,5.714285714e-01
1002,-1.661226934e+00,-4.440037981e+00,2.700978142e+00,0.000000000e+00,1.136136740e-02,-3.112773069e-01,-1.396839927e+00,3.009025742e+00,5.714285714e-01
1002,-1.635879591e+00,-4.432089059e+00,-2.461758561e+00,0.000000000e+00,9.793096174e-03,-3.112773069e-01,-1.396839927e+00,3.021602716e+00,5.714285714e-01
1002,-1.699279485e+00,-4.425321997e+00,-4.576956968e-01,0.000000000e+00,8.221451687e-03,-3.112773069e-01,-1.396839927e+00,3.033825694e+00,5.714285714e-01
1002,-1.664248275e+00,-4.419738252e+00,1.725865587e+00,0.000000000e+00,6.650332470e-03,-3.112773069e-01,-1.396839927e+00,3.045714059e+00,5.714285714e-01
1002,-1.700303258e+00,-4.415337249e+00,-3.792895773e+00,0.000000000e+00,5.082305936e-03,-3.112773069e-01,-1.396839927e+00,3.057285644e+00,5.714285714e-01
1002,-1.767921124e+00,-4.412117481e+00,2.287338521e-01,0.000000000e+00,3.519948071e-03,-3.112773069e-01,-1.396839927e+00,3.068556895e+00,5.714285714e-01
1002,-1.736862783e+00,-4.410077281e+00,9.597153538e-01,0.000000000e+00,1.971095021e-03,-3.112773069e-01,-1.396839927e+00,3.079543007e+00,5.714285714e-01
1002,-1.758926485e+00,-4.409215348e+00,-2.864132154e+00,0.000000000e+00,5.433338229e-04,-3.112773069e-01,-1.396839927e+00,3.090258053e+00,5.714285714e-01
1002,-1.872994504e+00,-4.409531048e+00,-2.194701806e+00,0.000000000e+00,1.268787168e-03,-3.112773069e-01,-1.396839927e+00,3.100715087e+00,5.714285714e-01
1002,-1.871033140e+00,-4.411024541e+00,1.139127936e+00,0.000000000e+00,2.798560187e-03,-3.112773069e-01,-1.396839927e+00,3.110926242e+00,5.714285714e-01
1003,-8.693548306e-01,-4.450916717e+00,-4.770307240e+00,8.333333333e-02,1.803759418e-02,-4.381392245e-01,-1.692981428e+00,1.785329835e+00,2.857142857e-01
1003,-1.028573141e+00,-4.437994215e+00,-6.750289571e+00,0.000000000e+00,1.633897652e-02,-4.381392245e-01,-1.692981428e+00,1.959041392e+00,2.857142857e-01
1003,-1.247808417e+00,-4.426354594e+00,-8.748403304e+00,0.000000000e+00,1.462807014e-02,-4.381392245e-01,-1.692981428e+00,2.082785370e+00,2.857142857e-01
1003,-1.436081689e+00,-4.416002671e+00,-6.328545058e+00,0.000000000e+00,1.291649197e-02,-4.381392245e-01,-1.692981428e+00,2.178976947e+00,2.857142857e-01
1003,-1.627371828e+00,-4.406936320e+00,-8.671986159e+00,0.000000000e+00,1.121134450e-02,-4.381392245e-01,-1.692981428e+00,2.257678575e+00,2.857142857e-01
1003,-1.774576954e+00,-4.399149393e+00,-1.739210621e+00,0.000000000e+00,9.516522176e-03,-4.381392245e-01,-1.692981428e+00,2.324282455e+00,2.857142857e-01
1003,-1.729687427e+00,-4.392633808e+00,7.993458785e+00,0.000000000e+00,7.833703260e-03,-4.381392245e-01,-1.692981428e+00,2.382017043e+00,2.857142857e-01
1003,-1.617845416e+00,-4.387381033e+00,3.400159609e+00,0.000000000e+00,6.163175681e-03,-4.381392245e-01,-1.692981428e+00,2.432969291e+00,2.857142857e-01
1003,-1.540955467e+00,-4.383383131e+00,4.929858241e+00,0.000000000e+00,4.504794217e-03,-4.381392245e-01,-1.692981428e+00,2.478566496e+00,2.857142857e-01
1003,-1.513059177e+00,-4.380633477e+00,7.812666007e-01,0.000000000e+00,2.860389939e-03,-4.381392245e-01,-1.692981428e+00,2.519827994e+00,2.857142857e-01
1003,-1.518246899e+00,-4.379127245e+00,1.339598163e+00,0.000000000e+00,1.252094578e-03,-4.381392245e-01,-1.692981428e+00,2.557507202e+00,2.857142857e-01
1003,-1.477867122e+00,-4.378861703e+00,2.825542381e+00,0.000000000e+00,6.350081502e-04,-4.381392245e-01,-1.692981428e+00,2.592176757e+00,2.857142857e-01
1003,-1.464064269e+00,-4.379836373e+00,1.496731868e-01,0.000000000e+00,2.163300346e-03,-4.381392245e-01,-1.692981428e+00,2.624282096e+00,2.857142857e-01
1003,-1.525238876e+00,-4.382053054e+00,-1.841358448e-01,0.000000000e+00,3.798562048e-03,-4.381392245e-01,-1.692981428e+00,2.654176542e+00,2.857142857e-01
1003,-1.512595754e+00,-4.385515724e+00,-1.705756923e-01,0.000000000e+00,5.451576967e-03,-4.381392245e-01,-1.692981428e+00,2.682145076e+00,2.857142857e-01
1003,-1.462927630e+00,-4.390230306e+00,-6.143841196e-01,0.000000000e+00,7.117015037e-03,-4.381392245e-01,-1.692981428e+00,2.708420900e+00,2.857142857e-01
1003,-1.471493896e+00,-4.396204266e+00,4.791535916e-01,0.000000000e+00,8.794683949e-03,-4.381392245e-01,-1.692981428e+00,2.733197265e+00,2.857142857e-01
1003,-1.515678865e+00,-4.403446007e+00,8.337005742e-01,0.000000000e+00,1.048462483e-02,-4.381392245e-01,-1.692981428e+00,2.756636108e+00,2.857142857e-01
1003,-1.522599826e+00,-4.411963972e+00,8.175061588e-01,0.000000000e+00,1.218584970e-02,-4.381392245e-01,-1.692981428e+00,2.778874472e+00,2.857142857e-01
1003,-1.507160974e+00,-4.421765364e+00,-1.064816442e-01,0.000000000e+00,1.389551615e-02,-4.381392245e-01,-1.692981428e+00,2.800029359e+00,2.857142857e-01
1003,-1.507514669e+00,-4.432854344e+00,-7.138580990e-01,0.000000000e+00,1.560802763e-02,-4.381392245e-01,-1.692981428e+00,2.820201459e+00,2.857142857e-01
1003,-1.490206023e+00,-4.445229492e+00,-3.665166769e-01,0.000000000e+00,1.731387717e-02,-4.381392245e-01,-1.692981428e+00,2.839478047e+00,2.857142857e-01
1003,-1.480612638e+00,-4.458880285e+00,-1.112392179e+00,0.000000000e+00,1.899810239e-02,-4.381392245e-01,-1.692981428e+00,2.857935265e+00,2.857142857e-01
1003,-1.468059348e+00,-4.473782223e+00,-3.124352881e-01,0.000000000e+00,2.063821933e-02,-4.381392245e-01,-1.692981428e+00,2.875639937e+00,2.857142857e-01
1003,-1.444314077e+00,-4.489890171e+00,-2.151031825e-01,0.000000000e+00,2.220150171e-02,-4.381392245e-01,-1.692981428e+00,2.892651034e+00,2.857142857e-01
1003,-1.433910771e+00,-4.507129363e+00,3.401305028e-01,0.000000000e+00,2.364150352e-02,-4.381392245e-01,-1.692981428e+00,2.909020854e+00,2.857142857e-01
1003,-1.416729253e+00,-4.525383511e+00,9.794279840e-01,0.000000000e+00,2.489383345e-02,-4.381392245e-01,-1.692981428e+00,2.924795996e+00,2.857142857e-01
1003,-1.409558469e+00,-4.544479523e+00,8.822809121e-01,0.000000000e+00,2.587146069e-02,-4.381392245e-01,-1.692981428e+00,2.940018155e+00,2.857142857e-01
1003,-1.404587312e+00,-4.564168763e+00,6.360421877e-01,0.000000000e+00,2.646038419e-02,-4.381392245e-01,-1.692981428e+00,2.954724791e+00,2.857142857e-01
1003,-1.383601475e+00,-4.584105741e+00,4.584672354e-01,0.000000000e+00,2.651747405e-02,-4.381392245e-01,-1.692981428e+00,2.968949681e+00,2.857142857e-01
1003,-1.360438119e+00,-4.603826979e+00,9.554149221e-02,0.000000000e+00,2.587374627e-02,-4.381392245e-01,-1.692981428e+00,2.982723388e+00,2.857142857e-01
1003,-1.362666355e+00,-4.622735900e+00,3.166099678e-01,0.000000000e+00,2.434794629e-02,-4.381392245e-01,-1.692981428e+00,2.996073654e+00,2.857142857e-01
